Model,MAE,RMSE,R2,Best Params
Ridge Regression (Tuned),18.4646,25.7412,0.9735,{'regressor__alpha': 0.1}
Decision Tree (Tuned),0.7674,9.5833,0.9963,"{'regressor__max_depth': 25, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 5}"
Random Forest (Tuned),0.7202,8.512,0.9971,"{'regressor__n_estimators': 150, 'regressor__min_samples_split': 4, 'regressor__min_samples_leaf': 1, 'regressor__max_depth': 30}"
Gradient Boosting (Tuned),2.5993,8.0106,0.9974,"{'regressor__n_estimators': 100, 'regressor__max_depth': 6, 'regressor__learning_rate': 0.1}"
K-Nearest Neighbors (Tuned),13.3141,21.0425,0.9823,{'regressor__n_neighbors': 9}
Support Vector Regressor (Tuned),8.3841,15.3334,0.9906,"{'regressor__C': 50.0, 'regressor__epsilon': 0.1, 'regressor__kernel': 'rbf'}"
